net,length_um
i_decode_stage.decode_state_o\[57\],151.76
net275,151.64
_0633_,151.61
_0645_,151.52
_0727_,149.33
clknet_leaf_26_clk_i,148.94
i_decode_stage.decode_state_o\[44\],148.32
net272,148.18
clknet_leaf_23_clk_i,147.42
clknet_leaf_5_clk_i,147.36
_0419_,147.11
_0749_,146.58
_0473_,146.48
net283,146.14
net268,146.1
net271,146.06
clknet_leaf_1_clk_i,145.98
clknet_leaf_32_clk_i,145.33
i_decode_stage.decode_state_o\[56\],145.32
_0812_,145.05
net290,143.76
_0666_,143.545
_0600_,143.52
i_mem_slice_stage.mem_state_o\[36\],143.3
_0589_,143.16
_0961_,142.91
_1144_,142.545
clknet_leaf_20_clk_i,142.28
i_mem_slice_stage.mem_state_o\[100\],141.94
_0612_,141.52
_0733_,141.48
_0768_,141.36
net267,140.7
_0594_,140.44
_1649_,140.26
net245,140.24
i_decode_stage.decode_state_o\[126\],140.01
_0387_,139.66
net285,139.62
clknet_leaf_0_clk_i,139.14
i_decode_stage.decode_state_o\[129\],139.1
net274,139.04
net243,137.28
_0679_,137.16
net270,136.96
_1780_,136.64
i_decode_stage.decode_state_o\[134\],136.62
_0949_,136.49
i_mem_slice_stage.mem_state_o\[92\],136.38
_0339_,136.365
net166,136.28
_0649_,136.19
_0650_,135.06
_0467_,134.74
_0329_,134.36
_0978_,134.32
_0656_,133.24
_0712_,133.04
i_decode_stage.decode_state_o\[53\],133.04
net244,132.86
i_mem_slice_stage.mem_state_o\[93\],132.34
_0672_,132.18
i_decode_stage.decode_state_o\[121\],132.1
clknet_leaf_21_clk_i,131.8
i_mem_slice_stage.mem_state_o\[96\],131.2
_2047_,130.7
_0730_,130.09
_0451_,129.16
_0575_,128.82
i_decode_stage.decode_state_o\[124\],128.7
i_decode_stage.decode_state_o\[123\],128.44
_1149_,127.7
_0545_,127.315
_0529_,126.8
_1088_,126.73
_0677_,126.59
_0883_,126.28
_0703_,126
_0439_,124.54
_0358_,123.58
_0691_,123.555
net269,122.34
_0683_,121.84
_0404_,121.56
_0671_,121.55
_0689_,121.495
_0701_,121.44
clknet_leaf_6_clk_i,121.28
net248,120.68
i_decode_stage.decode_state_o\[119\],119.88
i_decode_stage.decode_state_o\[122\],117.94
_0466_,116.78
i_decode_stage.decode_state_o\[59\],116.42
_1204_,115.73
net192,115.4
i_exec_stage.exec_state_o\[8\],114.9
net186,114.9
_0713_,114.7
_0655_,114.65
_0932_,113.325
clknet_leaf_3_clk_i,113.14
net259,113.12
_1706_,112.66
clknet_leaf_24_clk_i,112.48
clknet_leaf_19_clk_i,112.02
i_decode_stage.decode_state_o\[120\],111.66
i_mem_slice_stage.mem_state_o\[94\],111.64
_1092_,111.52
_0638_,111.49
_0945_,111.44
_1479_,110.775
_0695_,110.68
_0481_,109.57
_1041_,109.57
net184,109.1
_0461_,107.99
_0864_,107.41
_0615_,106.64
_0578_,106.48
_1837_,106.175
net266,106.1
_0480_,105.46
net258,104.52
_0743_,104.25
net254,103.74
_1666_,103.48
_0605_,103.3
clknet_leaf_22_clk_i,103.26
_0682_,103.24
i_decode_stage.valid_o,103.12
net252,102.92
clknet_leaf_9_clk_i,102.675
clknet_leaf_28_clk_i,102.64
_0630_,101.98
_0474_,101.96
_0357_,101.88
_0584_,101.73
_0543_,101.56
_0564_,99.7
i_mem_slice_stage.mem_state_o\[74\],99.46
i_decode_stage.decode_state_o\[238\],99.38
_0447_,98.305
_0735_,98.2
i_mem_slice_stage.mem_state_o\[27\],98.06
i_mem_slice_stage.mem_state_o\[26\],97.96
i_decode_stage.decode_state_o\[125\],97.9
net261,97.6
i_decode_stage.decode_state_o\[51\],97.48
net262,97.48
i_decode_stage.fetch_state_i\[46\],96.4
i_mem_slice_stage.mem_state_o\[95\],95.96
_0475_,95.69
i_decode_stage.decode_state_o\[55\],95.64
net260,95.6
i_decode_stage.decode_state_o\[239\],95.505
i_mem_slice_stage.mem_state_o\[21\],95.18
_0391_,95.16
net188,95.04
i_mem_slice_stage.mem_state_o\[76\],94.93
_1459_,94.74
_0509_,94.6
_1476_,94.57
_1782_,93.18
_1829_,92.95
i_decode_stage.fetch_state_i\[52\],92.78
_0927_,92.74
_0324_,92.45
i_decode_stage.decode_state_o\[241\],92.26
_1183_,91.85
_0831_,91.8
_0535_,91.72
i_decode_stage.decode_state_o\[41\],91
_0326_,90.8
net256,90.22
_0427_,89.725
i_decode_stage.decode_state_o\[52\],89.72
i_mem_slice_stage.mem_state_o\[102\],89.5
_0849_,89.34
_0547_,89.32
clknet_leaf_10_clk_i,89.32
_0341_,89.18
i_decode_stage.decode_state_o\[240\],88.9
clknet_leaf_2_clk_i,88.64
_0462_,88.3
i_exec_stage.exec_state_o\[5\],88.18
i_decode_stage.decode_state_o\[7\],88.04
i_decode_stage.fetch_state_i\[54\],87.69
net263,87.62
_1177_,87.06
_0355_,86.42
_0917_,86.195
net193,86.16
_1415_,86
i_mem_slice_stage.mem_state_o\[71\],85.88
i_mem_slice_stage.mem_state_o\[91\],85.66
_1571_,85.56
_0468_,85.47
i_decode_stage.decode_state_o\[61\],84.98
net251,84.58
net149,84.16
i_decode_stage.decode_state_o\[42\],84.1
_0493_,83.975
_1326_,83.36
_1350_,82.31
_0534_,82.18
_0619_,82.18
i_decode_stage.decode_state_o\[128\],82.13
_0566_,82.01
_1074_,81.9
i_decode_stage.decode_state_o\[242\],81.7
_0873_,81.69
_1501_,81.62
i_decode_stage.decode_state_o\[71\],81.52
_0565_,81.46
_1398_,80.39
i_mem_slice_stage.mem_state_o\[90\],80.08
net198,79.94
_0580_,79.66
_0444_,79.63
_0692_,79.59
_0958_,79.54
_1299_,79.54
_0504_,79.28
_0764_,79.2
net196,78.58
_0510_,78.26
net247,77.74
_0875_,77.62
_0446_,77.48
_0857_,77.38
_1810_,77.3
_0524_,77.24
_0866_,77.16
_0874_,77.12
_0720_,77.06
net257,77.03
_1393_,77
_2033_,76.66
net250,76.55
_0553_,76.34
i_mem_slice_stage.mem_state_o\[19\],76.3
_1022_,76.02
_1774_,75.94
i_decode_stage.decode_state_o\[127\],75.72
i_mem_slice_stage.mem_state_o\[72\],75.6
_0352_,75.35
net194,75.26
_0620_,75.12
_0492_,75.11
_0521_,74.66
_0675_,74.62
_0852_,74.42
_1396_,74.32
i_decode_stage.reg_meta_o\[43\],74.26
_1216_,73.86
i_decode_stage.decode_state_o\[40\],73.7
_0526_,73.5
i_mem_slice_stage.mem_state_o\[15\],73.46
_1702_,73.34
net185,73.2
net265,73.1
i_decode_stage.fetch_state_i\[2\],73.06
_0497_,72.92
i_decode_stage.decode_state_o\[237\],72.7
_1176_,72.67
_1607_,72.67
_0593_,72.58
_1688_,72.28
_0809_,72.095
_0880_,71.64
net416,71.14
net187,71.1
i_decode_stage.reg_meta_o\[52\],71.06
_0542_,70.56
i_decode_stage.reg_meta_o\[46\],70.44
_2083_,70.4
_1475_,70.355
_1792_,70.3
i_exec_stage.exec_state_o\[4\],70.1
_0606_,69.96
i_decode_stage.decode_state_o\[236\],69.875
i_decode_stage.fetch_state_i\[50\],69.84
i_decode_stage.reg_meta_o\[45\],69.6
_0498_,69.32
_1195_,69.22
_1340_,69.17
_0554_,69.16
_0751_,69.14
_1291_,69.14
_0904_,68.88
clknet_leaf_16_clk_i,68.64
_0374_,68.48
_0676_,68.47
i_mem_slice_stage.mem_state_o\[18\],68.18
_1287_,67.92
_1179_,67.84
_0840_,67.68
_2077_,67.515
_0458_,67.26
_1004_,66.96
_1790_,66.96
net249,66.66
_1171_,66.55
_1454_,66.48
_0693_,66.14
_1194_,66.04
_1683_,65.92
i_decode_stage.reg_meta_o\[54\],65.88
_0382_,65.78
i_exec_stage.data_fwd_o\[14\],65.51
net170,65.34
_1813_,65.26
net255,65.1
net171,65.06
_1251_,64.98
_0489_,64.96
net169,64.84
_1628_,64.7
clknet_leaf_15_clk_i,64.6
i_decode_stage.reg_meta_o\[6\],64.56
i_decode_stage.reg_meta_o\[14\],64.5
_1687_,64.3
i_exec_stage.data_fwd_o\[6\],64.26
net183,64.16
_1032_,64.11
_0664_,64.08
i_decode_stage.decode_state_o\[232\],64.08
_1791_,63.9
_1218_,63.84
_1720_,63.8
_0369_,63.7
_0752_,63.22
_1557_,62.91
i_decode_stage.reg_meta_o\[47\],62.7
i_exec_stage.data_fwd_o\[12\],62.62
_1208_,62.46
_1315_,62.25
_1580_,61.62
_0322_,61.26
_2135_,61.24
_1498_,61.23
_0530_,61.06
_0838_,60.98
_1259_,60.94
clknet_leaf_11_clk_i,60.67
i_mem_slice_stage.mem_state_o\[77\],60.02
_0729_,59.96
i_exec_stage.exec_state_o\[1\],59.82
net121,59.8
_1045_,59.675
_2089_,59.58
_1375_,59.49
_0801_,59.46
_1544_,59.13
_0363_,59.02
i_decode_stage.reg_meta_o\[44\],58.98
_2053_,58.76
_1012_,58.74
_0829_,58.7
_0505_,58.43
_0766_,58.36
net105,58.18
_1523_,58.08
_1807_,58.045
i_decode_stage.reg_meta_o\[13\],57.86
net17,57.68
_1065_,57.655
_1441_,57.57
i_decode_stage.reg_meta_o\[49\],57.46
_1110_,57.44
i_mem_slice_stage.mem_state_o\[12\],57.44
_0938_,57.32
_1627_,57.11
_0544_,57.08
net110,56.94
i_decode_stage.fetch_state_i\[8\],56.92
_1275_,56.86
_1554_,56.68
net10,56.58
_2049_,56.52
net71,56.4
i_mem_slice_stage.mem_state_o\[24\],55.78
i_decode_stage.reg_meta_o\[18\],55.76
_1223_,55.46
_0790_,55.43
i_exec_stage.data_fwd_o\[9\],55.36
_1060_,55.28
_0981_,55.18
_0789_,54.88
_1541_,54.88
_0817_,54.86
_0792_,54.24
net73,54.22
_1222_,54.14
_0976_,53.78
_1637_,53.76
_1142_,52.84
_1313_,52.77
_2139_,52.58
net168,52.48
_2112_,52.34
i_decode_stage.fetch_state_i\[6\],52.28
_1322_,51.81
_1491_,51.78
i_decode_stage.decode_state_o\[233\],51.58
_2093_,51.52
_1710_,51.38
_1071_,50.58
i_decode_stage.reg_meta_o\[17\],50.52
_1458_,50.475
i_mem_slice_stage.mem_state_o\[13\],50.44
_0561_,50.12
_2037_,50.005
i_decode_stage.reg_meta_o\[12\],49.98
_0935_,49.9
_0984_,49.8
i_mem_slice_stage.mem_state_o\[75\],49.76
net130,49.6
_0810_,49.58
_0393_,49.46
i_exec_stage.data_fwd_o\[16\],49.44
i_decode_stage.reg_meta_o\[55\],49.4
i_decode_stage.valid_i,49.34
_1376_,49.08
_2019_,48.98
_1590_,48.95
_1926_,48.81
_0747_,48.64
_1703_,48.64
_1028_,48.44
_1335_,48.38
_1416_,48.22
_1815_,48.08
_0853_,47.82
i_mem_slice_stage.mem_state_o\[16\],47.67
_1644_,47.665
_1086_,47.56
clknet_leaf_4_clk_i,47.54
_0805_,47.48
net98,47.46
i_decode_stage.fetch_state_i\[44\],47.44
i_mem_slice_stage.mem_state_o\[11\],47.4
i_exec_stage.data_fwd_o\[2\],47.255
clknet_leaf_13_clk_i,47.22
_2065_,47.2
_1434_,47.14
_0647_,47.1
_1126_,47.1
_1257_,47.1
_1579_,47.05
i_exec_stage.data_fwd_o\[13\],46.82
_1436_,46.715
i_mem_slice_stage.mem_state_o\[14\],46.26
net25,46.24
_0975_,46.12
i_mem_slice_stage.pre_data\[3\],46.04
_0959_,46.02
_0728_,46
_0739_,45.96
i_mem_slice_stage.pre_data\[11\],45.84
_0964_,45.82
_1507_,45.72
_0971_,45.5
i_decode_stage.decode_state_o\[24\],45.5
_0665_,45.475
_0333_,45.37
_0490_,45.28
i_mem_slice_stage.mem_state_o\[17\],45.02
_1361_,45
_1516_,44.94
_0846_,44.8
_0320_,44.775
_1478_,44.68
i_decode_stage.fetch_state_i\[14\],44.68
_0843_,44.62
_2144_,44.56
_0826_,44.4
_0758_,44.38
_0965_,44.34
_1492_,44.31
net394,44.26
_0761_,44.22
_0989_,44.1
_1921_,44.1
_0954_,44
_1238_,43.99
net190,43.84
_2121_,43.76
net79,43.74
_0379_,43.68
_1054_,43.62
_1245_,43.62
i_mem_slice_stage.mem_state_o\[79\],43.5
_0631_,43.365
i_mem_slice_stage.pre_data\[25\],43.325
_0311_,43.14
_1018_,43.12
_0378_,42.99
_1280_,42.85
_1288_,42.84
i_decode_stage.reg_meta_o\[19\],42.82
_0815_,42.64
_0929_,42.52
net76,42.46
_0572_,42.42
_0459_,42.28
_1112_,42.24
i_mem_slice_stage.pre_data\[2\],42.2
_0982_,42.04
_0990_,42
_1127_,42
i_decode_stage.reg_meta_o\[10\],41.68
_1433_,41.64
i_decode_stage.decode_state_o\[234\],41.58
_0779_,41.52
_2073_,41.51
i_decode_stage.decode_state_o\[58\],41.36
_1423_,41.32
_0837_,41.26
_0910_,41.22
i_mem_slice_stage.mem_state_o\[78\],41.16
_0966_,40.82
net124,40.76
_1795_,40.74
_0376_,40.73
_1834_,40.72
_0983_,40.67
_0919_,40.62
_0748_,40.48
_1828_,40.46
_2138_,40.28
_0967_,40.25
_1809_,40.12
i_mem_slice_stage.mem_state_o\[10\],39.94
net116,39.94
_0834_,39.9
_2118_,39.74
_0774_,39.68
net100,39.66
_1409_,39.54
_1800_,39.53
_0549_,39.42
_0770_,39.39
_1685_,39.32
i_decode_stage.reg_meta_o\[16\],39.22
_2057_,39.2
_2069_,39.1
i_exec_stage.exec_state_o\[2\],39.1
i_decode_stage.reg_meta_o\[56\],38.88
net102,38.82
_1357_,38.74
_0796_,38.7
_1154_,38.7
net103,38.56
_0784_,38.44
_1304_,38.24
_1540_,38.24
net126,38.14
i_decode_stage.decode_state_o\[64\],38.02
i_decode_stage.fetch_state_i\[59\],38.01
_0769_,37.94
i_decode_stage.decode_state_o\[20\],37.93
net11,37.82
_2123_,37.74
_0740_,37.64
_0897_,37.63
_0316_,37.32
_1106_,37.26
i_decode_stage.fetch_state_i\[9\],37.14
i_mem_slice_stage.pre_data\[1\],37.105
_0782_,37.1
_1228_,37.02
_1009_,36.8
net30,36.74
net86,36.72
i_decode_stage.fetch_state_i\[58\],36.64
i_exec_stage.data_fwd_o\[1\],36.64
i_exec_stage.exec_state_o\[57\],36.64
i_exec_stage.valid,36.615
_0418_,36.58
_0377_,36.56
net352,36.56
_2055_,36.48
i_mem_slice_stage.mem_state_o\[81\],36.4
_0686_,36.3
_1242_,36.26
_1588_,36.22
net108,36.14
net18,36.09
i_mem_slice_stage.pre_data\[10\],36.06
_1519_,35.92
_0699_,35.84
_1392_,35.84
_1940_,35.82
_2079_,35.82
_1298_,35.64
i_decode_stage.decode_state_o\[60\],35.64
i_mem_slice_stage.pre_data\[14\],35.6
net111,35.6
_0816_,35.48
_0916_,35.36
_1931_,35.34
_1935_,35.26
_0877_,35.22
_1521_,35.14
_1369_,35.08
net70,35.08
_0991_,35.05
net16,35.05
_1814_,34.98
net95,34.94
i_mem_slice_stage.mem_state_o\[6\],34.68
_1435_,34.66
net167,34.58
_1170_,34.44
_1105_,34.405
i_exec_stage.data_fwd_o\[38\],34.38
_0865_,34.28
_1073_,34.26
_0854_,34.24
_1145_,34.12
i_decode_stage.reg_meta_o\[51\],34.12
_0858_,34.08
_1394_,34.04
i_exec_stage.data_fwd_o\[11\],34.02
_0734_,33.92
i_mem_slice_stage.pre_data\[16\],33.76
_0359_,33.74
i_decode_stage.reg_meta_o\[48\],33.66
i_exec_stage.exec_state_o\[56\],33.66
net96,33.66
_1417_,33.57
_1504_,33.56
_0746_,33.54
_0753_,33.54
net109,33.5
_0558_,33.49
_0681_,33.46
_1594_,33.46
_1722_,33.44
_1789_,33.38
_0757_,33.24
_0913_,33.24
_1736_,33.22
_2095_,33.22
_0926_,33.08
_2041_,33.06
net14,32.9
_2029_,32.86
_1425_,32.74
net21,32.68
_0892_,32.65
_1879_,32.6
_1604_,32.58
net84,32.52
_0767_,32.5
_0338_,32.42
_1932_,32.4
i_mem_slice_stage.pre_data\[13\],32.4
_1787_,32.32
_1240_,32.28
net189,32.28
net94,32.16
_1750_,32.1
_0370_,32.08
_1244_,32.06
_0844_,32
_0925_,32
net24,31.74
_1087_,31.685
_1943_,31.56
net9,31.56
_0428_,31.48
_0442_,31.44
_1364_,31.44
_0332_,31.38
_1379_,31.28
_2101_,31.275
i_decode_stage.fetch_state_i\[17\],31.26
net77,31.24
_0653_,31.16
_0775_,31.08
_0922_,30.98
_0993_,30.92
i_decode_stage.decode_state_o\[65\],30.92
_1225_,30.9
net13,30.8
i_decode_stage.decode_state_o\[243\],30.79
_1473_,30.755
_1450_,30.74
_1481_,30.74
_1796_,30.72
_0968_,30.62
_1329_,30.62
_1562_,30.62
_1035_,30.525
_2154_,30.52
net8,30.52
_0450_,30.4
_1122_,30.28
net19,30.23
_0661_,30.2
_0611_,30.16
dmem_wdata_o[21],30.09
_0405_,30.08
_0842_,30
rf_rs2_i[12],29.97
_0773_,29.96
_0876_,29.94
_0884_,29.9
i_exec_stage.data_fwd_o\[35\],29.9
_0694_,29.84
_1095_,29.84
_1472_,29.82
_1647_,29.82
i_decode_stage.decode_state_o\[54\],29.82
i_decode_stage.reg_meta_o\[57\],29.68
_1016_,29.66
net182,29.64
net101,29.62
i_mem_slice_stage.mem_state_o\[8\],29.6
i_decode_stage.reg_meta_o\[61\],29.58
i_decode_stage.decode_state_o\[70\],29.48
net118,29.4
_1545_,29.38
_1125_,29.34
_0690_,29.28
_1497_,29.28
_0737_,29.26
_0476_,29.24
_2091_,29.02
i_decode_stage.reg_meta_o\[7\],28.98
net20,28.96
dmem_wdata_o[27],28.95
_1119_,28.94
_0325_,28.84
_0710_,28.82
_0802_,28.82
_0915_,28.82
net31,28.82
_0911_,28.75
net7,28.62
_1101_,28.56
_0323_,28.48
_1019_,28.36
_1285_,28.34
i_decode_stage.reg_meta_o\[20\],28.34
i_mem_slice_stage.pre_data\[20\],28.28
_1348_,28.26
_0416_,28
_1281_,27.805
_1599_,27.78
_0881_,27.74
_1692_,27.72
_0469_,27.6
_2125_,27.6
_0793_,27.44
_1360_,27.44
i_decode_stage.reg_meta_o\[63\],27.4
_0738_,27.29
net177,27.28
_0628_,27.26
_1115_,27.26
_0754_,27.24
_1480_,27.21
_1489_,27.2
_0717_,27.14
_1003_,27.12
_1365_,27.11
_1734_,27.11
net191,27.1
_1603_,27.02
i_mem_slice_stage.pre_data\[4\],26.88
_0762_,26.875
_0800_,26.82
i_decode_stage.reg_meta_o\[67\],26.78
_1766_,26.64
_1455_,26.585
i_decode_stage.reg_meta_o\[59\],26.56
_0744_,26.42
_1500_,26.3
_2131_,26.28
_2127_,26.2
net15,26.2
_0636_,26.18
_0861_,26.18
_1160_,26.16
_0795_,26.1
_0960_,26.1
_0659_,25.96
_0736_,25.94
i_decode_stage.fetch_state_i\[29\],25.9
i_exec_stage.data_fwd_o\[33\],25.8
_0828_,25.75
_1330_,25.72
i_mem_slice_stage.pre_data\[0\],25.66
_1123_,25.62
i_mem_slice_stage.mem_state_o\[22\],25.44
i_decode_stage.decode_state_o\[3\],25.42
_1025_,25.4
_0397_,25.34
_1136_,25.34
rf_rs1_i[6],25.25
_0867_,25.12
_0825_,25.04
_1942_,25
i_mem_slice_stage.mem_state_o\[83\],24.94
_1137_,24.88
i_mem_slice_stage.mem_state_o\[5\],24.88
net119,24.86
_1134_,24.84
i_exec_stage.data_fwd_o\[4\],24.84
_1775_,24.82
_0334_,24.715
_0920_,24.68
i_decode_stage.fetch_state_i\[10\],24.68
_1283_,24.64
i_exec_stage.data_fwd_o\[34\],24.64
_1163_,24.62
_0539_,24.6
_0811_,24.53
_1001_,24.52
rf_rs1_i[29],24.51
_2340_,24.5
_1284_,24.36
i_mem_slice_stage.pre_data\[31\],24.34
_0972_,24.275
_0577_,24.14
_0319_,23.9
_1056_,23.9
net117,23.88
_0342_,23.84
net180,23.8
_1518_,23.76
_0491_,23.725
_2103_,23.695
_1081_,23.64
_1735_,23.62
_0312_,23.54
_0914_,23.54
net3,23.5
_0891_,23.48
_0409_,23.44
_1017_,23.42
_1300_,23.42
i_exec_stage.data_fwd_o\[36\],23.36
_0337_,23.32
_1560_,23.3
i_mem_slice_stage.mem_state_o\[9\],23.24
_2133_,23.14
_0624_,23.12
_1431_,23.08
i_decode_stage.reg_meta_o\[68\],23.06
i_mem_slice_stage.pre_data\[15\],23.04
_1356_,23.02
i_decode_stage.decode_state_o\[117\],23.02
i_decode_stage.decode_state_o\[68\],23.02
_0494_,22.98
_0318_,22.9
net125,22.88
_0848_,22.84
net69,22.82
_0755_,22.78
_1083_,22.78
_1405_,22.76
i_decode_stage.fetch_state_i\[19\],22.76
_2043_,22.7
i_exec_stage.data_fwd_o\[3\],22.68
dmem_wdata_o[22],22.65
_0898_,22.6
i_decode_stage.reg_meta_o\[9\],22.6
_0307_,22.53
_1303_,22.52
i_mem_slice_stage.pre_data\[7\],22.505
_0371_,22.5
_0399_,22.46
_1657_,22.34
i_decode_stage.reg_meta_o\[35\],22.34
_1938_,22.26
_2117_,22.22
_1732_,22.16
_1130_,22.04
_0985_,22
_1546_,22
_1456_,21.98
_0614_,21.9
i_decode_stage.reg_meta_o\[36\],21.9
net88,21.76
_1203_,21.74
_1297_,21.74
_0425_,21.66
i_decode_stage.reg_meta_o\[37\],21.66
i_decode_stage.decode_state_o\[66\],21.64
_1371_,21.62
_0785_,21.58
_1727_,21.56
_1621_,21.54
i_decode_stage.reg_meta_o\[11\],21.54
i_decode_stage.reg_meta_o\[27\],21.46
_0685_,21.38
i_exec_stage.data_fwd_o\[37\],21.38
_0889_,21.24
_0787_,21.2
_2143_,21.18
i_decode_stage.reg_meta_o\[8\],21.1
_1084_,21.095
_0977_,21.08
_2063_,21.06
clknet_leaf_14_clk_i,21.06
_0901_,21.04
_1131_,21.04
net87,21.04
i_decode_stage.reg_meta_o\[60\],20.96
dmem_addr_o[13],20.89
_0778_,20.88
_1102_,20.88
_1801_,20.85
i_decode_stage.fetch_state_i\[4\],20.8
_1824_,20.78
_0832_,20.76
_0317_,20.74
_1822_,20.74
_0952_,20.68
_0799_,20.62
