net,length_um
net49,701.59
net50,696.65
net46,696.16
net48,695.52
net44,685.9
net47,685.68
net42,684
net40,681.52
net43,679.54
net41,671.42
_1967_,652.68
_2012_,619.4
_1840_,500.385
net298,477.21
net293,475.79
_1936_,466.1
net37,456.01
_1982_,455.095
net155,441.68
net200,440.29
_2179_,433.52
net153,431.89
net154,428.19
net222,414.48
net160,412.71
_0424_,412.04
clk_i,409.2
net157,408.57
net150,406.2
net211,403.12
_2234_,401.78
net156,399.78
net151,397.88
_0411_,395.065
net142,394.65
net38,388.91
net158,387.9
net152,387.76
net147,385.83
i_exec_stage.alu_out\[0\],383.76
i_exec_stage.alu_out\[1\],377.05
net159,375.94
net228,372.84
clknet_2_0__leaf_clk_i,370.56
net231,370.54
net33,369.16
net202,368.78
net144,367.83
net62,366.75
_0430_,363.92
net227,360.06
_1198_,359.955
_1927_,359.5
net136,358.52
net225,358.4
net230,357.86
net229,356.215
_0417_,355
net60,354.22
net57,350.36
net145,350.31
_2042_,349.93
net132,349.225
net161,348.09
_0722_,345.99
_0448_,343.545
clknet_2_1__leaf_clk_i,343.33
net203,342.62
clknet_0_clk_i,342.59
_0559_,342.48
net135,342.32
net201,341.72
net51,341.28
net226,340.31
net134,338.79
net140,336.83
net206,336.44
i_decode_stage.decode_state_o\[138\],335.07
_0496_,333.46
_0512_,332.85
_1924_,332.42
net218,332.34
net61,332.26
net66,331.61
_0345_,331.495
_1156_,330.965
net139,330.06
_0495_,328.34
net215,322.1
net39,321.98
_0709_,321.36
_1839_,321.09
net141,320.475
_1930_,320.16
_0413_,319.15
net59,318.7
net205,318.02
net216,317.46
net133,316.37
net64,314.36
_0525_,314.07
i_decode_stage.decode_state_o\[46\],313.01
net219,311.74
_0707_,311.22
_0465_,309.88
clknet_2_3__leaf_clk_i,309.82
net204,309.18
_0523_,308.01
_1929_,306.91
net217,304.92
_0590_,303.84
net137,303.29
_1937_,301.97
net220,301.96
net58,301.6
net36,301.02
net221,300.78
net54,299.28
_0453_,297.6
net35,297.08
_0516_,296.69
net207,294.95
net209,294.4
net65,292.52
net286,291.76
net138,290.79
net223,290.5
_1158_,289.045
net213,286.58
net63,286
_0622_,284.91
net52,284.74
clknet_2_2__leaf_clk_i,284.54
_0343_,284.455
_2333_,283.2
net143,282.915
net214,281
_2207_,280.31
net208,278.5
_0440_,276.22
net53,275.9
_1838_,275.72
net131,274.9
i_decode_stage.decode_state_o\[100\],274.66
_0507_,273.91
net55,273.74
net210,269.66
net212,269.54
_0540_,268.46
i_decode_stage.decode_state_o\[45\],267.86
_0617_,265.95
_0421_,264.98
_1928_,264.525
_0662_,263.97
_0533_,262.92
_1129_,256.49
net224,256.18
net284,254.63
net282,254.54
net281,252.83
_0500_,250.51
_0528_,250.16
net289,246.53
_0503_,243.02
_0344_,237.22
i_decode_stage.decode_state_o\[49\],236.48
net291,235.18
net297,235.09
_0422_,234.465
net146,234.16
_0568_,231.66
_0455_,228.26
_0346_,225.89
net296,222.24
_1199_,222.07
i_decode_stage.decode_state_o\[0\],221.8
i_decode_stage.decode_state_o\[147\],221.185
i_decode_stage.decode_state_o\[131\],220.96
_0556_,220.82
_2336_,220.06
i_decode_stage.decode_state_o\[140\],219.94
_0478_,219.22
_0394_,216.7
_0402_,216.41
_0460_,216.26
_0563_,216.13
i_decode_stage.decode_state_o\[118\],215.03
_1020_,214.73
_0519_,214.415
net292,214.08
_0452_,213.35
net280,212.21
_0551_,211.22
_0508_,211.18
_2341_,210.6
i_decode_stage.decode_state_o\[133\],208.82
_0484_,208.66
_0386_,208.39
_0464_,207.98
net294,207.9
_0415_,207.66
_0470_,207.53
_0601_,206.835
_0855_,206.28
_0541_,205.13
i_decode_stage.decode_state_o\[139\],204.67
_0660_,204.02
_1030_,203.32
net276,202.86
_2045_,201.2
_0663_,199.88
i_decode_stage.decode_state_o\[137\],198.61
_0608_,194.74
_0726_,193.84
net278,192.5
_0479_,192.46
i_decode_stage.reg_meta_o\[81\],192.32
_0786_,192.31
net148,187.89
clknet_leaf_30_clk_i,187.64
_0640_,186.82
net279,185.07
_0803_,184.285
i_decode_stage.decode_state_o\[130\],184.07
_0532_,183.68
_0454_,183.42
_0537_,182.91
_0552_,182.88
_0347_,182.58
clknet_leaf_8_clk_i,181.36
i_decode_stage.decode_state_o\[48\],180.52
net242,178.93
_0731_,178.64
_0603_,178.01
_0667_,177.59
_0384_,177.5
net178,177.365
_1374_,176.82
net253,176.62
i_mem_slice_stage.mem_state_o\[97\],175.76
_0644_,174.99
_0560_,173.76
_0776_,172.06
net277,171.74
i_mem_slice_stage.mem_state_o\[101\],171.26
i_decode_stage.decode_state_o\[47\],170.81
_0618_,170.8
net287,170.64
clknet_leaf_27_clk_i,169.32
_0381_,169.13
_0626_,168.97
i_decode_stage.decode_state_o\[50\],167.4
i_mem_slice_stage.mem_state_o\[99\],166.34
_0759_,166.18
net295,164.97
_0651_,164.7
clknet_leaf_7_clk_i,164.66
_0328_,163.815
clknet_leaf_29_clk_i,163.74
_0596_,163.02
clknet_leaf_25_clk_i,162.91
net199,162.54
_0548_,162.16
_0582_,161.7
_0908_,160.39
i_decode_stage.decode_state_o\[132\],160.1
_0969_,159.48
clknet_leaf_31_clk_i,159.47
net246,159.29
_0741_,159.2
net288,159.13
clknet_leaf_18_clk_i,158.9
_1785_,158.84
clknet_leaf_17_clk_i,158.32
_0457_,157.74
_0330_,157.63
_0604_,156.42
i_mem_slice_stage.mem_state_o\[98\],156.34
_0527_,156.3
_0336_,155.99
_1778_,155.865
_0674_,155.74
i_decode_stage.decode_state_o\[43\],155.68
net195,155.05
_0634_,154.4
_2048_,154.12
_0986_,153.78
net264,152.94
_0488_,152.88
_0794_,152.63
