net,length_um
net103,139.2
_03236_,139.14
_03321_,139.05
rf\[18\]\[12\],138.98
_04114_,138.3
rf\[14\]\[31\],138.115
_03850_,137.74
net64,137.4
_03594_,137.295
net45,137.2
rf\[29\]\[29\],136.98
_03913_,136.56
clknet_1_0__leaf__04468_,136.56
_03950_,136.51
_04227_,136.36
clknet_1_1__leaf__04468_,135.8
net34,135.63
net86,135.42
_02330_,135.34
_04379_,135.09
_04384_,134.87
_03669_,134.85
_04141_,134.23
_03332_,134.2
_03272_,134.14
_03716_,134.08
clknet_1_0__leaf__04449_,134.04
rf\[0\]\[8\],133.94
net29,133.79
net111,133.3
_03969_,133.11
_03852_,133.08
_04005_,132.86
_03870_,132.58
_03906_,132.3
_04351_,132.18
rf\[11\]\[19\],132.08
_04148_,131.94
rf\[14\]\[30\],131.81
_03763_,131.8
clknet_1_0__leaf__04465_,131.78
_03627_,131.5
_03817_,131.45
_04176_,131.36
_03275_,131.35
_03501_,131.18
rf\[5\]\[30\],130.52
net84,130.4
rf\[26\]\[20\],130.365
_04349_,130.26
_03252_,130.08
_03748_,129.84
_04302_,129.24
_04197_,129.15
_03522_,129.04
_03476_,129
rf\[3\]\[25\],128.96
_03245_,128.56
_03314_,128.46
_04111_,128.16
rf\[3\]\[3\],127.96
rf\[11\]\[23\],127.47
net50,127.42
_04075_,127.4
_03416_,127.16
_03966_,127
_03768_,126.7
net30,126.2
_03899_,126.14
_03963_,125.89
rf\[3\]\[24\],125.83
net83,125.76
rf\[24\]\[7\],125.6
_04107_,125.58
_04418_,124.74
net110,124.26
rf\[7\]\[30\],124.1
rf\[7\]\[31\],123.785
_03804_,122.74
_03858_,122.42
rf\[3\]\[5\],121.72
_03335_,121.54
_04130_,121.48
_04051_,121.1
net61,121.1
_04102_,120.62
rf\[11\]\[3\],120.44
_03737_,120.42
clknet_1_0__leaf__04486_,120
rf\[3\]\[23\],119.98
_03818_,119.81
rf\[5\]\[24\],119.72
rf\[26\]\[27\],119.59
net88,119.4
_04135_,119.36
clknet_1_1__leaf__04465_,119.36
rf\[8\]\[31\],119.02
_04087_,118.94
_03222_,118.78
net28,118.56
_04282_,118.26
_04021_,118.24
_04126_,117.96
rf\[31\]\[29\],117.81
_02915_,117.54
_03087_,117.38
_03234_,117.29
_03349_,117.26
_03439_,117.22
_04345_,117.06
rf\[18\]\[13\],116.985
_03936_,116.94
_04036_,116.91
_03373_,116.74
_04443_,116.72
_04118_,116.585
_04072_,116.575
_03299_,116.34
clknet_1_0__leaf__04443_,116.24
_04401_,116.22
rf\[14\]\[10\],116.135
net85,116
_03351_,115.86
_03195_,115.67
rf\[26\]\[15\],115.41
_03405_,115.34
rf\[28\]\[31\],114.94
_04280_,114.8
net53,114.76
rf\[3\]\[19\],114.7
rf\[11\]\[1\],114.62
_03514_,114.6
rf\[3\]\[7\],114.45
rf\[3\]\[6\],113.97
rf\[26\]\[25\],113.69
_03749_,113.62
rf\[3\]\[4\],113.04
_04479_,113.01
_04360_,112.9
_04343_,112.46
_03876_,112.32
rf\[24\]\[3\],112.24
_03991_,112.16
net82,111.84
_04329_,111.7
_04315_,111.48
_03200_,111.31
_03319_,111.02
rf\[3\]\[27\],110.83
_02641_,110.8
_04370_,110.78
_03355_,110.62
_03441_,110.48
_04328_,110.35
_03905_,110.16
_04242_,109.96
net108,109.9
_03995_,109.82
rf\[4\]\[1\],109.7
rf\[27\]\[1\],109.66
rf\[24\]\[2\],109.62
_03289_,109.54
_03957_,109.5
_04352_,109.48
_03712_,109.4
_04251_,108.25
rf\[5\]\[31\],108.24
_02606_,108.06
_03460_,107.86
rf\[26\]\[19\],107.71
_04468_,107.6
_03307_,107.5
_03507_,107.26
_04218_,107.15
clknet_1_0__leaf__04461_,107.08
_04026_,107.02
net54,106.78
clknet_0__04457_,106.78
_04380_,106.76
net62,106.69
_04063_,106.56
_04122_,106.52
_04144_,106.34
clknet_1_0__leaf__04488_,105.84
