design,design_name,config,flow_status,total_runtime,routed_runtime,(Cell/mm^2)/Core_Util,DIEAREA_mm^2,CellPer_mm^2,OpenDP_Util,Final_Util,Peak_Memory_Usage_MB,synth_cell_count,tritonRoute_violations,Short_violations,MetSpc_violations,OffGrid_violations,MinHole_violations,Other_violations,Magic_violations,pin_antenna_violations,net_antenna_violations,lvs_total_errors,cvc_total_errors,klayout_violations,wire_length,vias,wns,pl_wns,optimized_wns,fastroute_wns,spef_wns,tns,pl_tns,optimized_tns,fastroute_tns,spef_tns,HPWL,routing_layer1_pct,routing_layer2_pct,routing_layer3_pct,routing_layer4_pct,routing_layer5_pct,routing_layer6_pct,wires_count,wire_bits,public_wires_count,public_wire_bits,memories_count,memory_bits,processes_count,cells_pre_abc,AND,DFF,NAND,NOR,OR,XOR,XNOR,MUX,inputs,outputs,level,DecapCells,WelltapCells,DiodeCells,FillCells,NonPhysCells,TotalCells,CoreArea_um^2,power_slowest_internal_uW,power_slowest_switching_uW,power_slowest_leakage_uW,power_typical_internal_uW,power_typical_switching_uW,power_typical_leakage_uW,power_fastest_internal_uW,power_fastest_switching_uW,power_fastest_leakage_uW,critical_path_ns,suggested_clock_period,suggested_clock_frequency,CLOCK_PERIOD,FP_ASPECT_RATIO,FP_CORE_UTIL,FP_PDN_HPITCH,FP_PDN_VPITCH,GRT_ADJUSTMENT,GRT_REPAIR_ANTENNAS,PL_TARGET_DENSITY,RUN_HEURISTIC_DIODE_INSERTION,STD_CELL_LIBRARY,SYNTH_MAX_FANOUT,SYNTH_STRATEGY
sv_core,core,matrix_config_10,flow completed,0h9m12s0ms,0h6m19s0ms,34250.0,0.2,17125.0,18.78,-1,810.76,3015,0,0,0,0,0,0,113828,0,0,0,-1,-1,154926,27437,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,122060625.0,0.0,21.85,21.86,5.34,13.43,0.64,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11362,2655,0,3215,3425,20657,185021.2,-1,-1,-1,0.00416,0.00366,2.73e-08,-1,-1,-1,8.93,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_11,flow completed,0h9m14s0ms,0h6m19s0ms,34250.0,0.2,17125.0,18.78,-1,819.82,3015,0,0,0,0,0,0,113828,0,0,0,-1,-1,154926,27437,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,122060625.0,0.0,21.85,21.86,5.34,13.43,0.64,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11362,2655,0,3215,3425,20657,185021.2,-1,-1,-1,0.00416,0.00366,2.73e-08,-1,-1,-1,8.93,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_12,flow completed,0h9m12s0ms,0h6m19s0ms,34250.0,0.2,17125.0,18.78,-1,819.68,3015,0,0,0,0,0,0,113828,0,0,0,-1,-1,154926,27437,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,122060625.0,0.0,21.85,21.86,5.34,13.43,0.64,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11362,2655,0,3215,3425,20657,185021.2,-1,-1,-1,0.00416,0.00366,2.73e-08,-1,-1,-1,8.93,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_13,flow completed,0h9m12s0ms,0h6m18s0ms,34250.0,0.2,17125.0,18.78,-1,819.58,3015,0,0,0,0,0,0,113828,0,0,0,-1,-1,154926,27437,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,122060625.0,0.0,21.85,21.86,5.34,13.43,0.64,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11362,2655,0,3215,3425,20657,185021.2,-1,-1,-1,0.00416,0.00366,2.73e-08,-1,-1,-1,8.93,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_14,flow completed,0h9m14s0ms,0h6m19s0ms,34250.0,0.2,17125.0,18.78,-1,819.82,3015,0,0,0,0,0,0,113828,0,0,0,-1,-1,154926,27437,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,122060625.0,0.0,21.85,21.86,5.34,13.43,0.64,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11362,2655,0,3215,3425,20657,185021.2,-1,-1,-1,0.00416,0.00366,2.73e-08,-1,-1,-1,8.93,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_15,flow completed,0h9m39s0ms,0h6m46s0ms,34350.0,0.2,17175.0,18.78,-1,798.12,3015,0,0,0,0,0,0,113892,0,0,0,-1,-1,155118,27437,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,122060625.0,0.0,21.72,22.11,5.55,12.8,0.51,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11359,2655,0,3212,3435,20661,185021.2,-1,-1,-1,0.00416,0.00366,2.73e-08,-1,-1,-1,8.95,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_16,flow completed,0h9m40s0ms,0h6m46s0ms,34350.0,0.2,17175.0,18.78,-1,796.37,3015,0,0,0,0,0,0,113892,0,0,0,-1,-1,155118,27437,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,122060625.0,0.0,21.72,22.11,5.55,12.8,0.51,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11359,2655,0,3212,3435,20661,185021.2,-1,-1,-1,0.00416,0.00366,2.73e-08,-1,-1,-1,8.95,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_17,flow completed,0h9m37s0ms,0h6m45s0ms,34350.0,0.2,17175.0,18.78,-1,796.74,3015,0,0,0,0,0,0,113892,0,0,0,-1,-1,155118,27437,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,122060625.0,0.0,21.72,22.11,5.55,12.8,0.51,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11359,2655,0,3212,3435,20661,185021.2,-1,-1,-1,0.00416,0.00366,2.73e-08,-1,-1,-1,8.95,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_18,flow completed,0h9m26s0ms,0h6m31s0ms,34200.0,0.2,17100.0,18.78,-1,824.89,3015,0,0,0,0,0,0,113390,0,0,0,-1,-1,154511,27478,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,123940595.0,0.0,21.9,21.85,5.43,14.05,0.41,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11402,2655,0,3136,3420,20613,185021.2,-1,-1,-1,0.00416,0.00365,2.73e-08,-1,-1,-1,8.72,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
sv_core,core,matrix_config_19,flow completed,0h9m24s0ms,0h6m30s0ms,34200.0,0.2,17100.0,18.78,-1,824.13,3015,0,0,0,0,0,0,113390,0,0,0,-1,-1,154511,27478,0.0,-1,-1,-1,0.0,0.0,-1,-1,-1,0.0,123940595.0,0.0,21.9,21.85,5.43,14.05,0.41,3028,7760,228,4960,0,0,0,3506,56,181,63,160,468,138,39,620,547,442,24,11402,2655,0,3136,3420,20613,185021.2,-1,-1,-1,0.00416,0.00365,2.73e-08,-1,-1,-1,8.72,12.0,83.33333333333333,12,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,30,AREA 0
