design,design_name,config,flow_status,total_runtime,routed_runtime,(Cell/mm^2)/Core_Util,DIEAREA_mm^2,CellPer_mm^2,OpenDP_Util,Final_Util,Peak_Memory_Usage_MB,synth_cell_count,tritonRoute_violations,Short_violations,MetSpc_violations,OffGrid_violations,MinHole_violations,Other_violations,Magic_violations,pin_antenna_violations,net_antenna_violations,lvs_total_errors,cvc_total_errors,klayout_violations,wire_length,vias,wns,pl_wns,optimized_wns,fastroute_wns,spef_wns,tns,pl_tns,optimized_tns,fastroute_tns,spef_tns,HPWL,routing_layer1_pct,routing_layer2_pct,routing_layer3_pct,routing_layer4_pct,routing_layer5_pct,routing_layer6_pct,wires_count,wire_bits,public_wires_count,public_wire_bits,memories_count,memory_bits,processes_count,cells_pre_abc,AND,DFF,NAND,NOR,OR,XOR,XNOR,MUX,inputs,outputs,level,DecapCells,WelltapCells,DiodeCells,FillCells,NonPhysCells,TotalCells,CoreArea_um^2,power_slowest_internal_uW,power_slowest_switching_uW,power_slowest_leakage_uW,power_typical_internal_uW,power_typical_switching_uW,power_typical_leakage_uW,power_fastest_internal_uW,power_fastest_switching_uW,power_fastest_leakage_uW,critical_path_ns,suggested_clock_period,suggested_clock_frequency,CLOCK_PERIOD,FP_ASPECT_RATIO,FP_CORE_UTIL,FP_PDN_HPITCH,FP_PDN_VPITCH,GRT_ADJUSTMENT,GRT_REPAIR_ANTENNAS,PL_TARGET_DENSITY,RUN_HEURISTIC_DIODE_INSERTION,STD_CELL_LIBRARY,SYNTH_MAX_FANOUT,SYNTH_STRATEGY
sv_core,core,matrix_config_3,flow failed,0h13m58s0ms,0h10m7s0ms,35520.0,0.2,17760.0,19.16,-1,632.17,3087,0,0,0,0,0,0,111296,0,0,0,-1,-1,166497,28041,-0.1,-1,-1,-1,-0.82,-0.33,-1,-1,-1,-9.23,130014494.0,0.0,22.84,23.2,6.82,15.08,0.61,2997,7729,228,4960,0,0,0,3475,64,181,89,124,453,159,49,645,547,442,25,11306,2655,0,3160,3552,20673,185021.2,-1,-1,-1,0.00478,0.00428,2.75e-08,-1,-1,-1,8.57,10.82,92.42144177449168,10,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,10,AREA 0
sv_core,core,matrix_config_0,flow failed,0h14m3s0ms,0h10m10s0ms,35520.0,0.2,17760.0,19.16,-1,631.96,3087,0,0,0,0,0,0,111296,0,0,0,-1,-1,166497,28041,-0.1,-1,-1,-1,-0.82,-0.33,-1,-1,-1,-9.23,130014494.0,0.0,22.84,23.2,6.82,15.08,0.61,2997,7729,228,4960,0,0,0,3475,64,181,89,124,453,159,49,645,547,442,25,11306,2655,0,3160,3552,20673,185021.2,-1,-1,-1,0.00478,0.00428,2.75e-08,-1,-1,-1,8.57,10.82,92.42144177449168,10,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,10,AREA 0
sv_core,core,matrix_config_2,flow failed,0h14m7s0ms,0h10m16s0ms,35520.0,0.2,17760.0,19.16,-1,631.82,3087,0,0,0,0,0,0,111296,0,0,0,-1,-1,166497,28041,-0.1,-1,-1,-1,-0.82,-0.33,-1,-1,-1,-9.23,130014494.0,0.0,22.84,23.2,6.82,15.08,0.61,2997,7729,228,4960,0,0,0,3475,64,181,89,124,453,159,49,645,547,442,25,11306,2655,0,3160,3552,20673,185021.2,-1,-1,-1,0.00478,0.00428,2.75e-08,-1,-1,-1,8.57,10.82,92.42144177449168,10,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,10,AREA 0
sv_core,core,matrix_config_1,flow failed,0h14m7s0ms,0h10m14s0ms,35520.0,0.2,17760.0,19.16,-1,632.16,3087,0,0,0,0,0,0,111296,0,0,0,-1,-1,166497,28041,-0.1,-1,-1,-1,-0.82,-0.33,-1,-1,-1,-9.23,130014494.0,0.0,22.84,23.2,6.82,15.08,0.61,2997,7729,228,4960,0,0,0,3475,64,181,89,124,453,159,49,645,547,442,25,11306,2655,0,3160,3552,20673,185021.2,-1,-1,-1,0.00478,0.00428,2.75e-08,-1,-1,-1,8.57,10.82,92.42144177449168,10,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,10,AREA 0
sv_core,core,matrix_config_4,flow failed,0h14m34s0ms,0h10m44s0ms,35620.0,0.2,17810.0,19.16,-1,604.17,3087,0,0,0,0,0,0,111283,0,0,0,-1,-1,166098,27997,-0.1,-1,-1,-1,-0.82,-0.33,-1,-1,-1,-9.24,130014494.0,0.0,22.76,23.2,6.85,15.13,0.66,2997,7729,228,4960,0,0,0,3475,64,181,89,124,453,159,49,645,547,442,25,11303,2655,0,3155,3562,20675,185021.2,-1,-1,-1,0.00478,0.00426,2.75e-08,-1,-1,-1,8.57,10.82,92.42144177449168,10,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,10,AREA 0
sv_core,core,matrix_config_5,flow failed,0h14m35s0ms,0h10m44s0ms,35620.0,0.2,17810.0,19.16,-1,604.42,3087,0,0,0,0,0,0,111283,0,0,0,-1,-1,166098,27997,-0.1,-1,-1,-1,-0.82,-0.33,-1,-1,-1,-9.24,130014494.0,0.0,22.76,23.2,6.85,15.13,0.66,2997,7729,228,4960,0,0,0,3475,64,181,89,124,453,159,49,645,547,442,25,11303,2655,0,3155,3562,20675,185021.2,-1,-1,-1,0.00478,0.00426,2.75e-08,-1,-1,-1,8.57,10.82,92.42144177449168,10,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,10,AREA 0
sv_core,core,matrix_config_6,flow failed,0h14m41s0ms,0h10m47s0ms,35620.0,0.2,17810.0,19.16,-1,604.09,3087,0,0,0,0,0,0,111283,0,0,0,-1,-1,166098,27997,-0.1,-1,-1,-1,-0.82,-0.33,-1,-1,-1,-9.24,130014494.0,0.0,22.76,23.2,6.85,15.13,0.66,2997,7729,228,4960,0,0,0,3475,64,181,89,124,453,159,49,645,547,442,25,11303,2655,0,3155,3562,20675,185021.2,-1,-1,-1,0.00478,0.00426,2.75e-08,-1,-1,-1,8.57,10.82,92.42144177449168,10,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,10,AREA 0
sv_core,core,matrix_config_7,flow failed,0h14m45s0ms,0h10m57s0ms,35620.0,0.2,17810.0,19.16,-1,604.28,3087,0,0,0,0,0,0,111283,0,0,0,-1,-1,166098,27997,-0.1,-1,-1,-1,-0.82,-0.33,-1,-1,-1,-9.24,130014494.0,0.0,22.76,23.2,6.85,15.13,0.66,2997,7729,228,4960,0,0,0,3475,64,181,89,124,453,159,49,645,547,442,25,11303,2655,0,3155,3562,20675,185021.2,-1,-1,-1,0.00478,0.00426,2.75e-08,-1,-1,-1,8.57,10.82,92.42144177449168,10,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,10,AREA 0
sv_core,core,matrix_config_8,flow failed,0h14m29s0ms,0h10m33s0ms,37000.0,0.2,18500.0,19.16,-1,624.45,3087,0,0,0,0,0,0,111493,0,0,0,-1,-1,166027,28505,-0.1,-1,-1,-1,-0.83,-0.33,-1,-1,-1,-11.09,130014494.0,0.0,23.37,23.03,5.86,15.47,0.36,2997,7729,228,4960,0,0,0,3475,64,181,89,124,453,159,49,645,547,442,25,11304,2655,0,3197,3700,20856,185021.2,-1,-1,-1,0.00482,0.00427,2.81e-08,-1,-1,-1,8.58,10.83,92.33610341643582,10,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,10,AREA 0
sv_core,core,matrix_config_9,flow failed,0h14m22s0ms,0h10m30s0ms,37000.0,0.2,18500.0,19.16,-1,624.39,3087,0,0,0,0,0,0,111493,0,0,0,-1,-1,166027,28505,-0.1,-1,-1,-1,-0.83,-0.33,-1,-1,-1,-11.09,130014494.0,0.0,23.37,23.03,5.86,15.47,0.36,2997,7729,228,4960,0,0,0,3475,64,181,89,124,453,159,49,645,547,442,25,11304,2655,0,3197,3700,20856,185021.2,-1,-1,-1,0.00482,0.00427,2.81e-08,-1,-1,-1,8.58,10.83,92.33610341643582,10,1,50,153.18,153.6,0.3,1,0.6,0,sky130_fd_sc_hd,10,AREA 0
