net,length_um
i_mem_slice_stage.mem_state_o\[93\],144.2
_1144_,142.785
_0768_,142.745
_0618_,142.18
_0932_,142.155
_0730_,142
i_decode_stage.decode_state_o\[134\],141.3
net290,141.22
_0612_,140.43
i_decode_stage.decode_state_o\[47\],140.29
_2047_,140.06
clknet_leaf_24_clk_i,140.02
_0712_,139.72
net274,139.72
_0594_,139.46
net244,138.56
net243,137.34
i_decode_stage.decode_state_o\[129\],137.02
_1088_,136.58
net166,135.72
clknet_leaf_15_clk_i,134.12
i_decode_stage.decode_state_o\[122\],133.46
i_decode_stage.decode_state_o\[126\],132.14
_0419_,132.1
clknet_leaf_28_clk_i,132.04
i_decode_stage.decode_state_o\[119\],131.78
_0466_,131.18
_0387_,130.2
i_decode_stage.decode_state_o\[123\],128.76
_0649_,128.46
_0650_,128.12
_0703_,127.48
i_mem_slice_stage.mem_state_o\[94\],127.42
_0749_,126.74
clknet_leaf_7_clk_i,126.58
i_decode_stage.decode_state_o\[118\],126.28
_0727_,126.18
clknet_leaf_18_clk_i,126.02
_0683_,123.48
i_decode_stage.decode_state_o\[121\],122.965
_0535_,122.55
_1326_,121.79
_0447_,120.095
_0735_,119.46
i_exec_stage.exec_state_o\[8\],119.32
i_mem_slice_stage.mem_state_o\[90\],119.28
_0677_,119.15
net248,119.02
_0733_,118.14
_0451_,117.7
_0674_,117.66
i_mem_slice_stage.mem_state_o\[98\],116.9
net261,116.86
_0402_,116.8
_0695_,116.74
_0630_,116.72
_0743_,116.42
i_mem_slice_stage.mem_state_o\[92\],116.34
net283,116.29
net245,115.69
_1666_,115.57
clknet_leaf_25_clk_i,115.36
_0638_,114.94
i_decode_stage.decode_state_o\[57\],114.2
i_mem_slice_stage.mem_state_o\[100\],114.14
_0578_,113.98
net254,113.965
i_mem_slice_stage.mem_state_o\[91\],113.4
_0439_,112.08
_0559_,111.85
_0600_,111.21
_0357_,111.14
_0584_,110.655
net188,110.12
_0355_,109.445
i_exec_stage.exec_state_o\[5\],109.24
_1829_,109.125
_2037_,108.895
_0864_,108.76
_1837_,108.56
_0589_,108.52
clknet_leaf_30_clk_i,108.06
i_mem_slice_stage.mem_state_o\[95\],108.04
_1702_,107.84
_0326_,107.36
_0713_,107.16
_0655_,107.03
_1778_,106.995
_0945_,106.97
_0666_,106.56
net259,106.52
_1092_,105.8
i_decode_stage.decode_state_o\[239\],105.345
_0324_,104.89
i_mem_slice_stage.mem_state_o\[77\],104.85
i_mem_slice_stage.mem_state_o\[74\],104.3
_1706_,103.58
_0671_,103.4
net266,102.74
i_decode_stage.decode_state_o\[125\],102.44
i_decode_stage.decode_state_o\[52\],102.06
_0682_,101.16
_0461_,100.78
_0615_,100.65
net186,100.09
net192,99.84
_0701_,99.76
_0526_,99.54
clknet_leaf_9_clk_i,98.9
_0475_,98.15
net193,98.07
_1479_,98
i_decode_stage.fetch_state_i\[54\],97.78
_1459_,97.53
_1782_,97.49
clknet_leaf_2_clk_i,97.29
net187,97.2
clknet_leaf_19_clk_i,97.06
net263,96.91
_0917_,96.895
i_mem_slice_stage.mem_state_o\[76\],96.7
net184,96.56
i_decode_stage.decode_state_o\[22\],96.18
_0689_,96.065
i_decode_stage.decode_state_o\[59\],95.86
_0874_,95.8
i_mem_slice_stage.mem_state_o\[71\],95.72
_0446_,95.68
i_decode_stage.decode_state_o\[71\],95.58
_0565_,95.36
_1287_,95.14
_0560_,95.04
_0619_,94.81
i_decode_stage.decode_state_o\[124\],94.595
i_decode_stage.decode_state_o\[51\],94.415
_0427_,94.09
_0927_,93.98
_2077_,93.745
i_mem_slice_stage.mem_state_o\[102\],93.7
_0543_,93.57
_1780_,93.52
i_decode_stage.decode_state_o\[238\],93.03
i_mem_slice_stage.mem_state_o\[26\],92.78
i_decode_stage.decode_state_o\[127\],92.12
_0391_,92.11
_1398_,91.88
_0468_,91.74
_1335_,91.68
_0547_,91.56
_0873_,91.2
i_decode_stage.decode_state_o\[120\],91.04
